,CODE,NAME OF STOCK,CUR,"PRV,CLO/",ASK/,HIGH/,SHARES TRADED/
,,,,CLOSING,BID,LOW,TURNOVER ($)
,62,TRANSPORT INT'L,HKD,"21,10","21,35","21,50",151428
,,,,"21,30","21,30","21,15",3220741
,63,CHINA GRAPHENE,HKD,"0,238","0,29",-,-
,,,,"0,238","0,20",-,-
,64,GET NICE,HKD,"0,265","0,27","0,27",461000
,,,,"0,265","0,265","0,26",124035
,65,GRAND OCEAN AR,HKD,"0,47","0,495","0,49",268000
,,,,"0,485","0,47","0,47",128520
,66,MTR CORPORATION,HKD,"40,80","41,00","41,00",3135525
,,,,"41,00","40,85","40,70",128060845
,67,LUMENA NEWMAT,HKD,TRADING,SUSPENDED,,
,68,LEE HING,HKD,"5,50","6,82",-,-
,,,,"5,50","5,50",-,-
,69,SHANGRI-LA ASIA,HKD,"11,50","11,54","11,66",901058
,,,,"11,54","11,52","11,22",10372411
,70,RICH GOLDMAN,HKD,"0,31","0,29","0,30",270000
,,,,"0,29","0,285","0,285",78400
,71,MIRAMAR HOTEL,HKD,"14,78","14,60","14,80",64000
,,,,"14,56","14,56","14,50",932120
,72,MODERN MEDIA,HKD,"0,40","0,40",-,-
,,,,"0,40","0,36",-,-
,73,ASIAN CITRUS,HKD,TRADING,SUSPENDED,,
,75,Y.T. REALTY,HKD,"2,50","2,51","2,50",392215
,,,,"2,49","2,49","2,49",979597
,76,SOUTH SEA PETRO,HKD,"0,033","0,033","0,033",3304920
,,,,"0,033","0,032","0,032",108295
,77,AMS TRANSPORT,HKD,"0,96","1,00",-,-
,,,,"0,97","0,97",-,-
,78,REGAL INT'L,HKD,"4,58","4,65","4,64",826000
,,,,"4,64","4,57","4,54",3797840
,79,CENTURY LEGEND,HKD,"0,42","0,425","0,405",128000
,,,,"0,405","0,395","0,375",49860
,80,CNEWECON FUND,HKD,"0,107","0,106","0,108",140000
,,,,"0,106","0,103","0,103",14580
,81,CH OVS G OCEANS,HKD,"2,83","2,81","2,86",5866000
,,,,"2,80","2,80","2,77",16401130
,82,V1 GROUP,HKD,"0,23","0,23","0,237",1834200
,,,,"0,23","0,228","0,228",423445
,83,SINO LAND,HKD,"13,92","13,78","13,90",3570418
,,,,"13,76","13,76","13,72",49197918
,84,STELUX HOLDINGS,HKD,"0,26","0,29","0,295",3046902
,,,,"0,29","0,28","0,26",852245
