,CODE,NAME OF STOCK,CUR,"PRV,CLO/",ASK/,HIGH/,SHARES TRADED/
,,,,CLOSING,BID,LOW,TURNOVER ($)
,,,,"0,036","0,036",-,-
,11658,HT-CMS @EC1812A,HKD,"0,018","0,018",-,-
,,,,"0,018",-,-,-
,11666,MBTENCT@EC1904J,HKD,"4,40","4,59",-,-
,,,,"4,49","4,49",-,-
,11668,HT-LUYE@EC1812A,HKD,"0,02",-,-,-
,,,,"0,02",-,-,-
,11670,MBCSOFT@EC1908A,HKD,"0,54","0,53","0,54",266000
,,,,"0,52","0,52","0,52",140100
,11672,CSPINAN@EC1812G,HKD,"0,062","0,058","0,061",5045000
,,,,"0,056","0,055","0,049",296335
,11673,BI-SUNY@EC1906B,HKD,"0,097","0,095","0,104",30000
,,,,"0,095","0,089","0,103",3110
,11674,BI-AAC @EC1902A,HKD,"0,02","0,022",-,-
,,,,"0,02","0,015",-,-
,11675,BI-KECL@EC1902A,HKD,"0,56","0,75",-,-
,,,,"0,70","0,69",-,-
,11676,BIJIANC@EC1901B,HKD,"0,90","0,93",-,-
,,,,"0,90","0,88",-,-
,11677,HT-BYD @EC1812A,HKD,"0,038","0,045","0,038",500000
,,,,"0,038","0,034","0,038",19000
,11678,BICSA50@EC1901A,HKD,"0,234","0,255",-,-
,,,,"0,24","0,24",-,-
,11679,BIFTA50@EC1901A,HKD,"0,218","0,238",-,-
,,,,"0,225","0,225",-,-
,11680,HT-CNBM@EC1909A,HKD,"0,03","0,034",-,-
,,,,"0,03","0,028",-,-
,11681,BI-HSCI@EC1903A,HKD,"0,355","0,37",-,-
,,,,"0,355","0,355",-,-
,11682,VT-HSI @EC1812B,HKD,"0,01","0,01",-,-
,,,,"0,01",-,-,-
,11683,BI-CRRC@EC1903A,HKD,"0,69","0,78",-,-
,,,,"0,75","0,75",-,-
,11687,BICCCCL@EC1901A,HKD,"0,242","0,26",-,-
,,,,"0,242","0,238",-,-
,11689,MB-YOFC@EC1907A,HKD,"0,16","0,18",-,5000
,,,,"0,16","0,048",-,900
,11690,BICSHEN@EC1904A,HKD,N/A,"0,30",-,-
,,,,N/A,"0,275",-,-
,11692,JP-HUAP@EC1903A,HKD,"0,201","0,216","0,219",4126000
,,,,"0,215","0,214","0,195",871282
,11694,JP-BJEW@EC1904A,HKD,"0,75","0,73",-,-
,,,,"0,73","0,72",-,-
,11696,SG-HSI @EC1903E,HKD,"0,087","0,084","0,087",3562630000
,,,,"0,084","0,083","0,077",297692150
,11701,SG-HSI @EC1906B,HKD,"0,147","0,147","0,143",80000
,,,,"0,146","0,146","0,143",11440
,11703,SG-CNBM@EC1904A,HKD,"0,80","0,74","0,78",228000
,,,,"0,72","0,72","0,68",163460
,11706,SG-CGDN@EC1904A,HKD,"0,138","0,134",-,-
,,,,"0,134","0,132",-,-
,11708,SG-HTSC@EC1910A,HKD,"0,38","0,395","0,385",590000
,,,,"0,39","0,39","0,38",225860
,11710,SGPINAN@EC2006B,HKD,"0,097","0,097","0,097",800000
,,,,"0,096","0,095","0,095",76250
,11713,SGSTANC@EC1903A,HKD,"0,32","0,33",-,-
,,,,"0,32","0,32",-,-
,11715,MB-HSBC@EC1904A,HKD,"0,026","0,03",-,-
,,,,"0,026",-,-,-
,11716,MB-HSBC@EP1901C,HKD,"0,64",-,-,-
,,,,"0,64",-,-,-
,11718,GS-HSI @EC1902F,HKD,"0,081","0,077","0,074",6980000
,,,,"0,076","0,076","0,07",498830
,11722,GS-GEG @EP1901C,HKD,"0,078","0,076","0,088",17030000
,,,,"0,076","0,074","0,061",1360550
,11723,BP-AGBK@EC1901A,HKD,"0,019",-,-,-
,,,,"0,019",-,-,-
,11726,BP-CMBC@EC1901A,HKD,"0,046","0,038",-,-
,,,,"0,038","0,037",-,-
,11728,GS-HSBC@EC1903C,HKD,"0,29","0,285","0,295",3272000
,,,,"0,285","0,28","0,28",936500
,11730,CSCPAIR@EC1812A,HKD,"0,01",-,-,-
,,,,"0,01",-,-,-
,11736,GS-CCB @EP1901E,HKD,"0,046","0,048","0,044",1110000
,,,,"0,039","0,038","0,039",44810
,11743,CSKINGD@EC1901A,HKD,"0,051","0,055","0,062",4519000
,,,,"0,054","0,053","0,051",250419
,11760,GS-ACMT@EC1901A,HKD,"0,031","0,018","0,024",5920000
,,,,"0,017","0,017","0,013",102945
,11761,VTTENCT@EC1904D,HKD,"0,33","0,35","0,34",530000
,,,,"0,34","0,34","0,335",177700
,11763,VTTENCT@EP1904E,HKD,"0,096","0,088","0,103",1200000
,,,,"0,088","0,086","0,088",116590
,11765,VTGEELY@EC1903A,HKD,N/A,"0,32",-,-
,,,,N/A,"0,31",-,-
,11778,MBGEELY@EC1905A,HKD,"1,87","1,81","1,84",6498000
,,,,"1,75","1,75","1,68",11571970
,11781,MBCP&CC@EC1812A,HKD,TRADING,SUSPENDED,,
,11782,MBXIAMI@EC1905B,HKD,"0,081","0,076",-,-
,,,,"0,075","0,073",-,-
,11783,BPPINAN@EC1905C,HKD,"0,22","0,22",-,-
,,,,"0,22","0,214",-,-
,11787,BIGEELY@EC1903B,HKD,"0,26","0,275",-,-
,,,,"0,26","0,255",-,-
,11788,BI-LINK@EC1901A,HKD,"0,053","0,064",-,-
,,,,"0,059","0,059",-,-
,11793,MBJIANC@EC1903A,HKD,"0,103","0,103","0,106",7382000
,,,,"0,104","0,102","0,098",757193
,11794,BIFOSUN@EC1904A,HKD,"0,103","0,106",-,-
,,,,"0,103","0,102",-,-
,11796,MB-CSPC@EC1904A,HKD,"0,275","0,295","0,285",120000
,,,,"0,28","0,28","0,275",33600
,11801,UBPINAN@EC1909A,HKD,"0,094","0,093","0,093",10950000
,,,,"0,091","0,091","0,09",1006150
,11802,MB-CSPC@EC1907A,HKD,"0,216","0,229","0,229",5760000
,,,,"0,226","0,226","0,221",1294500
,11803,VT-SJM @EC1903A,HKD,"0,91","0,90","0,90",51000
,,,,"0,90","0,85","0,90",45900
,11805,VT-GEG @EC1903B,HKD,"0,72","0,75",-,-
,,,,"0,72","0,72",-,-
,11806,BP-SUNY@EC1907C,HKD,"0,094","0,088","0,102",3080000
,,,,"0,088","0,087","0,088",293810
,11807,BP-CCB @EC1906B,HKD,"0,40","0,39","0,39",50000
,,,,"0,39","0,38","0,39",19500
,11808,BPMEITU@EC1904A,HKD,"0,095","0,093","0,087",50000
,,,,"0,09","0,089","0,087",4350
,11809,UB-HTSC@EC1910A,HKD,"0,375","0,40",-,-
,,,,"0,385","0,385",-,-
,11818,UB-CLIT@EC1903A,HKD,"0,415","0,435","0,435",710000
,,,,"0,415","0,415","0,41",291980
,11820,UB-CGNP@EC1903A,HKD,N/A,"0,19",-,-
,,,,N/A,"0,182",-,-
,11829,VT-YZCM@EC1812A,HKD,"0,023",-,-,-
,,,,"0,023",-,-,-
,11830,UBMEITU@EC2006A,HKD,"0,077","0,079","0,075",370000
,,,,"0,075","0,076","0,074",27430
,11836,BPCLIFE@EC1812B,HKD,TRADING,SUSPENDED,,
,11842,UB-MGMC@EC1906B,HKD,"0,34","0,335",-,-
,,,,"0,335","0,32",-,-
,11843,BP-AIA @EC1901B,HKD,"0,01",-,-,-
,,,,"0,01",-,-,-
,11847,JPGEELY@EC1903A,HKD,"0,233","0,228","0,228",420000
,,,,"0,225","0,226","0,214",94310
,11852,SG-AIA @EC1903B,HKD,"0,285","0,285","0,275",200000
,,,,"0,28","0,28","0,26",53250
,11854,SG-HKEX@EC1903F,HKD,"0,395","0,44","0,435",180000
,,,,"0,435","0,435","0,395",74600
,11864,SG-HKEX@EC1906F,HKD,"0,27","0,305","0,28",630000
,,,,"0,30","0,30","0,28",176400
,11865,SGPINAN@EC1903A,HKD,"0,182","0,18","0,183",33890000
,,,,"0,178","0,177","0,164",5892650
,11875,SGTENCT@EP1903G,HKD,"0,091","0,084","0,097",37270000
,,,,"0,084","0,082","0,082",3343830
,11877,CS-KECL@EC1903A,HKD,"0,52","0,67",-,-
,,,,"0,65","0,64",-,-
,11879,CS-BJEW@EC1903A,HKD,"0,66","0,63","0,62",52000
,,,,"0,60","0,60","0,60",31360
,11885,CSTRSKY@EC1904A,HKD,"0,28","0,275","0,275",220000
,,,,"0,265","0,265","0,255",58350
,11887,GSPINAN@EC1812D,HKD,"0,27","0,275","0,28",4645000
,,,,"0,265","0,265","0,238",1210385
,11888,CS-CRMH@EC1910A,HKD,"0,156","0,155","0,156",930000
,,,,"0,155","0,153","0,152",142410
,11889,CSPINAN@EC2006A,HKD,"0,098","0,097","0,097",1900000
,,,,"0,097","0,095","0,096",182600
,11892,SG-COSL@EC1812A,HKD,"0,021","0,022",-,-
,,,,"0,021","0,012",-,-
,11896,SG-PSBC@EC1812A,HKD,"0,014",-,-,-
,,,,"0,014",-,-,-
,11898,GS-AIA @EP1903A,HKD,"0,042","0,044","0,042",2198000
,,,,"0,037","0,031","0,036",83930
,11900,GSSTANC@EC1903A,HKD,"0,30","0,295",-,-
,,,,"0,295","0,29",-,-
,11901,GSCRAIL@EC1903A,HKD,"0,193","0,222","0,214",628000
,,,,"0,214","0,213","0,20",130712
,11902,GS-HSI @EP1902G,HKD,"0,15","0,142","0,152",430000
,,,,"0,141","0,14","0,144",63780
,11904,MBXJGST@EC2002A,HKD,"0,223","0,228","0,227",8748000
,,,,"0,227","0,224","0,215",1925826
,11907,MBPICCG@EC1905A,HKD,"0,31","0,345",-,-
,,,,"0,335","0,335",-,-
,11910,UBANGAN@EC1903A,HKD,"0,315","0,29",-,-
,,,,"0,29","0,275",-,-
,11912,UBCMOLY@EC1902A,HKD,"0,164","0,167","0,158",3141000
,,,,"0,161","0,161","0,141",473043
,11913,MB-SDWG@EC2002A,HKD,"0,34","0,355","0,35",120000
,,,,"0,35","0,345","0,35",42000
,11916,UBCRAIL@EC1903A,HKD,"0,239","0,27","0,25",2240000
,,,,"0,246","0,245","0,245",555480
,11917,UBCCCCL@EC1903A,HKD,"0,275","0,285",-,-
,,,,"0,275","0,27",-,-
,11922,UB-CRCC@EC1903A,HKD,"0,335","0,41",-,-
,,,,"0,39","0,40",-,-
,11923,UBPETCH@EC1902B,HKD,"0,038","0,035","0,033",1016000
,,,,"0,033","0,033","0,033",33528
,11930,UBPETCH@EC1812B,HKD,"0,01",-,-,-
,,,,"0,01",-,-,-
,11931,MB-CTFJ@EC1902A,HKD,"0,128","0,13",-,-
,,,,"0,128","0,113",-,-
,11937,MBCRAIL@EC1908A,HKD,"0,37","0,41",-,-
,,,,"0,395","0,395",-,-
,11940,BPTENCT@EC1902B,HKD,"0,01","0,01",-,-
,,,,"0,01",-,-,-
,11941,MB-CRMH@EC1912A,HKD,"0,156","0,157",-,-
,,,,"0,156","0,153",-,-
,11942,BI-CMOB@EC1902B,HKD,"0,077","0,082","0,077",3445000
,,,,"0,077","0,076","0,068",253945
,11944,BPPINAN@EC1902A,HKD,"0,025","0,023","0,022",580000
,,,,"0,022","0,021","0,022",12760
,11946,UBPINAN@EC1910A,HKD,"0,62","0,65",-,-
,,,,"0,63","0,64",-,-
,11947,BI-SHKP@EC1904A,HKD,"0,255","0,239","0,239",200000
<,/font>,</pre><pre><font,siz,e='1'>,,,"0,239    0"
,11948,UBPINAN@EC2003A,HKD,"0,65","0,68",-,-
,,,,"0,65","0,66",-,-
,11954,BI-NWD @EC1901A,HKD,"0,183","0,196",-,-
,,,,"0,188","0,184",-,-
,11960,BI-HTSE@EC1901A,HKD,"0,59","0,83",-,-
,,,,"0,79","0,79",-,-
,11961,BI-CNBM@EC1911A,HKD,"0,11","0,096","0,106",160000
,,,,"0,096","0,092","0,104",16800
,11962,CSPETCH@EP1902A,HKD,"0,216","0,219","0,232",3354000
,,,,"0,215","0,215","0,213",751496
,11963,UBCNOOC@EC1912A,HKD,"0,31","0,335",-,-
,,,,"0,315","0,315",-,-
,11964,UBLININ@EC1903B,HKD,"0,044","0,05",-,-
,,,,"0,048","0,047",-,-
,11974,CSPINAN@EC1903B,HKD,"0,139","0,125","0,141",18520000
,,,,"0,125","0,124","0,118",2307350
,11975,SGCCCCL@EC1910A,HKD,"0,031","0,033","0,033",220000
,,,,"0,032","0,031","0,032",7150
,11982,CSPINAN@EC1903C,HKD,"0,265","0,265","0,26",75000
,,,,"0,26","0,255","0,255",19350
,11984,CS-PICC@EC1903A,HKD,"0,017","0,019",-,-
,,,,"0,017","0,017",-,-
,11985,CSPINAN@EP1902D,HKD,"0,152","0,151","0,171",15785000
,,,,"0,149","0,149","0,148",2497980
,11987,CSCRAIL@EC1903A,HKD,"0,285","0,315","0,305",139000
,,,,"0,305","0,30","0,28",41125
,11988,HTTENCT@EP1903G,HKD,"0,119","0,109","0,126",3473740000
,,,,"0,107","0,106","0,107",420800560
,11989,HT-BYD @EP1903B,HKD,"0,285","0,27","0,285",650000
,,,,"0,26","0,26","0,25",172850
,11990,HT-BYD @EC1905A,HKD,"0,98","1,01",-,-
,,,,"0,99","0,99",-,-
,11991,HT-BYD @EC1906A,HKD,"0,67","0,70","0,74",14305000
,,,,"0,70","0,69","0,68",10049300
,11992,BP-HKEX@EC1907D,HKD,"0,163","0,181","0,179",12460000
,,,,"0,179","0,179","0,161",2074650
,11993,SGCCCCL@EC1904A,HKD,"0,35","0,355","0,355",526000
,,,,"0,355","0,345","0,33",181455
,11995,CS-ZAOL@EC1906B,HKD,"0,014",-,-,-
,,,,"0,014",-,-,-
,12000,SGCRAIL@EC1904A,HKD,"0,325","0,36",-,-
,,,,"0,35","0,35",-,-
,12101,SG-HSI @EP1903F,HKD,"0,095","0,092","0,10",4190000
,,,,"0,091","0,09","0,091",403990
,12102,SG-CRRC@EC1912A,HKD,"0,107","0,113",-,-
,,,,"0,112","0,112",-,-
,12103,GS-HSBC@EP1901E,HKD,"0,058","0,058","0,062",8672000
,,,,"0,057","0,056","0,055",497352
,12104,GSPINAN@EP1901E,HKD,"0,06",-,-,-
,,,,"0,06","0,01",-,-
,12105,GS-CKH @EC1812A,HKD,"0,012",-,-,-
,,,,"0,012",-,-,-
,12109,GS-HKEX@EP1906C,HKD,"0,086","0,082","0,087",38360000
,,,,"0,081","0,081","0,077",3185700
,12112,UBPINAN@EC1812A,HKD,"0,016",-,-,-
,,,,"0,016",-,-,-
,12115,GSCP&CC@EC1901A,HKD,"0,017","0,018",-,-
,,,,"0,017","0,012",-,-
,12117,GS-CGDN@EC1812A,HKD,"0,012","0,012",-,-
,,,,"0,012",-,-,-
,12119,UBTENCT@EC1903D,HKD,"0,117","0,123",-,-
,,,,"0,12","0,121",-,-
,12122,UBTENCT@EC1902G,HKD,"0,067","0,073",-,-
,,,,"0,069","0,07",-,-
,12123,UBTENCT@EP1904A,HKD,"0,098","0,095","0,105",11060000
,,,,"0,091","0,092","0,091",1111340
,12126,HT-BJEW@EC1910A,HKD,"0,056",-,-,-
,,,,"0,056","0,037",-,-
,12133,SG-CGS @EC1904A,HKD,"0,182","0,203","0,194",480000
,,,,"0,197","0,197","0,181",89440
,12134,HTPINAN@EP1904C,HKD,"0,106","0,106","0,109",4070000
,,,,"0,106","0,104","0,104",434070
,12136,BPCRAIL@EC1904A,HKD,"0,149","0,148","0,145",3500000
,,,,"0,144","0,144","0,139",495200
,12137,BI-HKEX@EC1906B,HKD,"0,136","0,152","0,146",907940000
,,,,"0,149","0,149","0,134",124264590
,12138,BI-HSI @EC1902E,HKD,"0,098","0,099",-,-
,,,,"0,098","0,096",-,-
,12139,BI-HSI @EP1903A,HKD,"0,109","0,107",-,-
,,,,"0,107","0,104",-,-
,12141,BI-HSI @EP1901D,HKD,"0,11","0,11","0,12",20000
,,,,"0,11","0,106","0,114",2340
,12144,SG-GWMC@EC1912A,HKD,"0,035","0,037","0,036",10000
,,,,"0,036","0,034","0,036",360
,12146,SG-HTSC@EC1904A,HKD,"0,059","0,063",-,-
,,,,"0,061","0,061",-,-
,12147,BIMTUAN@EC1903C,HKD,"0,063","0,055",-,-
,,,,"0,055","0,049",-,-
,12148,HTANTAS@EC1904A,HKD,"0,39","0,44","0,435",3800000
,,,,"0,435","0,435","0,405",1590000
,12149,SGKINGD@EC1904A,HKD,"0,112","0,116",-,-
,,,,"0,114","0,114",-,-
,12150,HS-HSI @EC1903D,HKD,"0,109","0,11","0,11",312850000
,,,,"0,11","0,109","0,101",32854550
,12153,HSFTA50@EC1903A,HKD,"0,255","0,26","0,255",300000
,,,,"0,255","0,255","0,248",75100
,12154,HSHSCEI@EC1907B,HKD,"0,143","0,143","0,139",1600000
,,,,"0,142","0,142","0,133",219300
,12156,HS-ICBC@EC1907A,HKD,"0,203","0,207","0,212",9104000
,,,,"0,205","0,205","0,198",1843334
,12157,UB-L&F @EC1903A,HKD,"0,152","0,141",-,-
,,,,"0,141","0,137",-,-
,12158,UB-CTRA@EC1903A,HKD,"0,157","0,182","0,188",60000
,,,,"0,183","0,177","0,184",11240
,12160,UBFOSUN@EC1907A,HKD,"0,115","0,116",-,-
,,,,"0,115","0,113",-,-
,12161,MBMTUAN@EC2002A,HKD,"0,081",-,-,-
,,,,"0,081",-,-,-
,12162,MBMTUAN@EC1904A,HKD,"0,091",-,-,-
,,,,"0,091",-,-,-
,12163,MBPICCG@EP1904A,HKD,"0,138","0,137","0,143",280000
,,,,"0,137","0,134","0,139",39620
,12166,MBCITSE@EP1904A,HKD,"0,18","0,171","0,168",874500
,,,,"0,165","0,165","0,162",145485
,12169,JPLININ@EC1903A,HKD,"0,045","0,053",-,-
,,,,"0,048","0,048",-,-
,12170,VTMTUAN@EC1903A,HKD,"0,067","0,056","0,054",1100000
,,,,"0,053","0,053","0,044",54200
,12171,CSPINAN@EC1903D,HKD,"0,188","0,169","0,191",4905000
,,,,"0,166","0,166","0,163",869545
,12172,CSXIAMI@EC1902E,HKD,"0,071","0,066","0,074",8756000
,,,,"0,065","0,065","0,061",590840
,12177,JPCRAIL@EC1904A,HKD,"0,191","0,212","0,211",1572000
,,,,"0,211","0,21","0,185",312710
,12178,JPCNOOC@EC1903A,HKD,"0,29","0,315","0,30",260000
,,,,"0,305","0,305","0,29",76900
,12179,JPPINAN@EC1902B,HKD,"0,05","0,047","0,045",2780000
,,,,"0,043","0,042","0,04",121075
,12181,SGMTUAN@EC1912A,HKD,"0,091","0,084","0,088",440000
,,,,"0,084","0,083","0,087",38610
,12184,SG-ACMT@EC1904A,HKD,"0,28","0,255","0,26",260000
,,,,"0,255","0,246","0,255",66950
,12185,SG-CRCH@EC1906A,HKD,"0,075","0,062","0,069",600000
,,,,"0,062","0,06","0,065",40200
,12186,HTTONDA@EC1907A,HKD,"0,138","0,152",-,-
,,,,"0,145","0,145",-,-
,12187,GS-CCB @EP1902A,HKD,"0,181","0,174","0,191",17993000
,,,,"0,172","0,172","0,167",3199446
,12189,GSCNOOC@EP1902A,HKD,"0,167","0,146","0,168",8681000
,,,,"0,146","0,144","0,148",1359619
,12193,GSPETCH@EC1812B,HKD,"0,01","0,01",-,-
,,,,"0,01",-,-,-
,12194,GSPINAN@EC1903B,HKD,"0,135","0,128","0,131",36245000
,,,,"0,128","0,126","0,117",4581915
,12195,GSPINAN@EP1902C,HKD,"0,148","0,138","0,149",40785000
,,,,"0,138","0,136","0,136",5731220
,12198,JPMTUAN@EC1904A,HKD,"0,073","0,062",-,-
,,,,"0,062","0,057",-,-
,12199,BPMTUAN@EC1909A,HKD,"0,093","0,087","0,09",1950000
,,,,"0,086","0,086","0,086",171960
,12200,HTTENCT@EC1906C,HKD,"0,216","0,226","0,221",120000
,,,,"0,225","0,224","0,203",25350
,12201,HTTENCT@EC1903H,HKD,"0,136","0,143","0,143",8690000
,,,,"0,143","0,142","0,123",1104380
,12203,HT-KBLH@EC1907A,HKD,"0,146","0,15","0,148",5700000
,,,,"0,148","0,149","0,14",813035
,12204,HT-NWD @EC1905A,HKD,"0,405","0,42",-,-
,,,,"0,41","0,41",-,-
,12206,BITENCT@EP1905A,HKD,"0,111","0,102","0,116",5750000
,,,,"0,10","0,099","0,10",636590
,12208,BI-CTEL@EC1904A,HKD,"0,325","0,32",-,-
,,,,"0,32","0,30",-,-
,12209,BIPICCG@EC1902A,HKD,"0,10","0,114",-,-
,,,,"0,107","0,104",-,-
,12210,BI-PICC@EC1902A,HKD,"0,118","0,127",-,-
,,,,"0,118","0,117",-,-
,12212,BI-CPIC@EC1902A,HKD,"0,143","0,147",-,-
,,,,"0,143","0,142",-,-
,12214,MBBYDEI@EC1911A,HKD,"0,26","0,249","0,265",3460000
,,,,"0,244","0,244","0,242",877505
,12215,BPGEELY@EC1812A,HKD,TRADING,SUSPENDED,,
,12216,MBMEITU@EC2012A,HKD,"0,091","0,093","0,093",4010000
,,,,"0,093","0,09","0,088",364110
,12217,BIPINAN@EC1906A,HKD,"0,265","0,255",-,-
,,,,"0,255","0,244",-,-
,12218,BIPINAN@EC1902B,HKD,"0,047","0,047",-,-
,,,,"0,047","0,042",-,-
,12219,BPEVERG@EC1901A,HKD,"0,019","0,019","0,012",300000
,,,,"0,013","0,013","0,012",3600
,12220,BPCNOOC@EC1901A,HKD,"0,217","0,228",-,-
,,,,"0,218","0,218",-,-
,12221,BPSUNAC@EC1904B,HKD,"0,019","0,019","0,019",300000
,,,,"0,019","0,014","0,019",5700
,12225,BICNOOC@EC1912A,HKD,"0,164","0,175",-,-
,,,,"0,171","0,171",-,-
,12226,UBPINAN@EC1903D,HKD,"0,127","0,125","0,126",8625000
,,,,"0,122","0,121","0,117",1041940
,12229,UBPINAN@EC1901E,HKD,"0,063","0,057","0,057",2340000
,,,,"0,054","0,055","0,051",130545
,12230,UBPINAN@EP1901F,HKD,"0,221","0,21",-,-
,,,,"0,208","0,204",-,-
,12232,UB-HKEX@EP1902A,HKD,"0,07","0,058","0,067",3700000
,,,,"0,057","0,056","0,057",228120
,12234,UB-HKEX@EC1901B,HKD,"0,233","0,325","0,30",84000
,,,,"0,31","0,315","0,255",22340
,12237,UB-HKEX@EC1901C,HKD,"0,113","0,148","0,125",50000
,,,,"0,145","0,145","0,125",6250
,12238,UB-GWMC@EC1904B,HKD,"0,28","0,32",-,-
,,,,"0,305","0,305",-,-
,12239,UB-HSI @EP1902G,HKD,N/A,"0,162",-,-
,,,,N/A,"0,159",-,-
,12244,JPCNOOC@EC1912C,HKD,"0,127","0,133","0,132",270000
,,,,"0,132","0,132","0,126",34430
,12249,JPTENCT@EP1902H,HKD,N/A,"0,196",-,-
,,,,N/A,"0,191",-,-
,12250,JP-BYD @EP1904B,HKD,"0,335","0,31","0,345",3510000
,,,,"0,31","0,305","0,295",1088875
,12251,UB-CLPG@EC1910A,HKD,"0,082","0,081",-,-
,,,,"0,082","0,079",-,-
,12252,JPTRAHK@EC1906A,HKD,"0,078","0,079","0,078",530000
,,,,"0,078","0,078","0,075",40660
,12255,UBFOPHA@EC1911A,HKD,"0,39","0,435",-,-
,,,,"0,42","0,42",-,-
,12256,JP-HSI @EP1903E,HKD,"0,085","0,082","0,091",32540000
,,,,"0,082","0,081","0,082",2831930
,12257,JP-HSI @EP1903F,HKD,"0,122","0,118","0,13",22040000
,,,,"0,118","0,117","0,118",2750690
,12258,JP-HSI @EP1901K,HKD,"0,149","0,145",-,-
,,,,"0,145","0,144",-,-
,12261,CSMTUAN@EC1910A,HKD,"0,091","0,085","0,088",100000
,,,,"0,084","0,084","0,081",8460
,12264,CSTENCT@EC1902L,HKD,"0,059","0,071",-,-
,,,,"0,063","0,063",-,-
,12268,CSPINAN@EC1901G,HKD,"0,036","0,035",-,-
,,,,"0,035","0,033",-,-
,12271,GSTENCT@EP1901N,HKD,"1,23","1,08","1,30",517000
,,,,"1,07","1,07","1,06",636640
,12273,GSTENCT@EC1902M,HKD,"0,111","0,121","0,12",14580000
,,,,"0,12","0,119","0,096",1528590
,12278,GS-CCB @EC1902B,HKD,"0,083","0,074","0,077",1598000
,,,,"0,073","0,073","0,072",119407
,12279,GS-ZAOL@EC1903C,HKD,"0,28","0,30","0,32",8295000
,,,,"0,295","0,295","0,249",2361627
,12280,GS-HSI @EC1903B,HKD,N/A,"0,077",-,-
,,,,N/A,"0,076",-,-
,12282,HSMTUAN@EC1909A,HKD,"0,079","0,072","0,074",7880000
,,,,"0,071","0,071","0,067",556920
,12284,HS-AGBK@EC1907A,HKD,"0,089","0,088",-,-
,,,,"0,088","0,086",-,-
,12285,HSMTUAN@EC1912B,HKD,"0,077","0,071","0,072",2380000
,,,,"0,07","0,07","0,068",166070
,12286,SG-HSI @EC1901A,HKD,"0,01","0,01",-,-
,,,,"0,01",-,-,-
,12288,BI-NWD @EC1812A,HKD,"0,02",-,-,-
,,,,"0,02",-,-,-
,12289,VTPINAN@EP1903A,HKD,"0,088","0,084",-,-
,,,,"0,084","0,081",-,-
,12291,VT-PWRA@EC1905A,HKD,"0,144","0,137","0,141",140000
,,,,"0,137","0,135","0,136",19390
,12292,MB-AIA @EC1904B,HKD,"0,173","0,175","0,173",21336000
,,,,"0,171","0,168","0,152",3470380
,12294,MB-HSBC@EC1904B,HKD,"0,094",-,"0,094",1504000
,,,,"0,092",-,"0,092",139280
,12296,MB-HSBC@EP1904C,HKD,"0,40",-,"0,405",120000
,,,,"0,405",-,"0,40",48300
,12297,MB-CMOB@EC1906A,HKD,"0,108",-,"0,117",50000
,,,,"0,117",-,"0,117",5850
,12299,BI-ZAOL@EC1906A,HKD,"0,02",-,-,-
,,,,"0,02",-,-,-
,12300,BI-CGDN@EC1812A,HKD,"0,02",-,-,-
,,,,"0,02",-,-,-
,12303,BIEVERG@EC1812A,HKD,"0,02",-,-,-
,,,,"0,02",-,-,-
,12304,MBCLIFE@EC1904B,HKD,"0,345",-,"0,345",28000
,,,,"0,345","0,29","0,345",9660
,12306,BI-BOCL@EC1812B,HKD,"0,02",-,-,-
,,,,"0,02",-,-,-
,12310,MBCLIFE@EP1904C,HKD,"0,29",-,"0,335",1014000
,,,,"0,32",-,"0,285",319635
,12312,MBLININ@EC1906A,HKD,"0,07","0,076","0,079",6760000
,,,,"0,075","0,074","0,07",508645
,12313,MB-CGDN@EC1901B,HKD,"0,018","0,032",-,-
,,,,"0,018",-,-,-
,12315,MB-CMS @EC1906A,HKD,"0,02",-,-,-
,,,,"0,02",-,-,-
,12316,EAMTUAN@EC1910A,HKD,"0,11","0,109","0,109",480000
,,,,"0,107","0,104","0,104",50960
,12319,EA-YZCM@EC1905A,HKD,"0,031","0,037",-,-
,,,,"0,031","0,031",-,-
,12320,EAAGILE@EC1906A,HKD,"0,127","0,116","0,116",11512000
,,,,"0,112","0,111","0,108",1279938
,12321,MB-HKEX@EC1907B,HKD,"0,217",-,"0,236",10980000
,,,,"0,234",-,"0,221",2459330
,12322,EAPINAN@EC1907A,HKD,"0,219","0,227",-,-
,,,,"0,221","0,221",-,-
,12323,JPMTUAN@EC1904B,HKD,"0,445","0,385","0,425",1318000
,,,,"0,375","0,375","0,355",513400
,12325,JPBYDEI@EC1903A,HKD,"0,113","0,108","0,118",3110000
,,,,"0,105","0,105","0,10",333380
,12335,UB-HSBC@EC1904A,HKD,"0,139","0,136","0,142",416000
,,,,"0,135","0,134","0,135",58160
,12340,UB-HSBC@EP1903C,HKD,"0,36","0,365",-,-
,,,,"0,36","0,35",-,-
,12347,UBCLIFE@EC1911A,HKD,"0,146","0,149","0,152",22260000
,,,,"0,143","0,143","0,142",3274480
,12351,BPTENCT@EC1904A,HKD,"0,47","0,495","0,485",4520000
,,,,"0,485","0,465","0,44",2045650
,12352,SG-CGHL@EC1904A,HKD,"0,54","0,57","0,55",10000
,,,,"0,56","0,56","0,55",5500
,12356,SG-HSBK@EC1903A,HKD,"0,093","0,123",-,-
<,/font>,</pre><pre><font,siz,e='1'>,,,"0,118    0"
,12363,SG-HSBK@EC1909A,HKD,"0,063","0,074",-,-
,,,,"0,072","0,072",-,-
