CODE,NAME OF STOCK,SALES RECORD
,,"168,000-4.18 ]< 132,000-4.18 174,000-4.18 180,000-4.18"
,,"340,000-4.18 744,000-4.18 162,000-4.18 120,000-4.18"
,,"U144,000-4.18 318,000-4.18 136,000-4.18 372,000-4.18"
,,"804,000-4.18 1,186,000-4.18 232,000-4.18 172,000-4.18"
,,"208,000-4.18 766,000-4.18 150,000-4.18 U150,000-4.18"
,,"U172,000-4.18 U294,000-4.18 320,000-4.18 798,000-4.18"
,,"122,000-4.18 186,000-4.18 314,000-4.18 188,000-4.18"
,,"254,000-4.18 336,000-4.18 196,000-4.18 144,000-4.18"
,,"136,000-4.18 >"
752,PICO FAR EAST,"< >[ ]/-//[ X250,000-2.925 ]< >"
753,AIR CHINA,"< P102,667-7.932 >[ 70,000-7.86 ]/-//[ 66,000-7.98"
,,"100,000-7.99 80,000-8.00 164,000-8.02 270,000-8.05"
,,"300,000-8.05 64,000-8.07 90,000-8.08 100,000-8.10"
,,"72,000-8.10 86,000-8.15 100,000-8.15 ]< 128,000-8.15"
,,"70,000-8.15 >"
762,CHINA UNICOM,"< >[ 78,000-9.06 58,000-9.14 154,000-9.10 158,000-9.10"
,,"82,000-9.10 1,244,000-9.10 Y120,000-9.11 252,000-9.11"
,,"62,000-9.09 2,010,000-9.08 436,000-9.08 62,000-9.08"
,,"60,000-9.10 78,000-9.10 ]/-//[ 258,000-9.08"
,,"884,000-9.08 178,000-9.08 166,000-9.08 102,000-9.08"
,,"88,000-9.08 62,000-9.08 66,000-9.10 92,000-9.15"
,,"64,000-9.14 64,000-9.15 56,000-9.14 100,000-9.17"
,,"200,000-9.17 80,000-9.17 82,000-9.18 252,000-9.18 ]<"
,,"126,000-9.20 202,000-9.20 64,000-9.20 76,000-9.20"
,,"220,000-9.20 222,000-9.20 454,000-9.20 96,000-9.20"
,,"108,000-9.20 370,000-9.20 132,000-9.20 56,000-9.20"
,,"70,000-9.20 66,000-9.20 60,000-9.20 268,000-9.20"
,,"64,000-9.20 162,000-9.20 68,000-9.20 80,000-9.20"
,,"94,000-9.20 70,000-9.20 100,000-9.20 136,000-9.20"
,,"94,000-9.20 112,000-9.20 100,000-9.20 86,000-9.20"
,,"60,000-9.20 100,000-9.20 72,000-9.20 >"
763,ZTE,"< >[ 45,000-16.70 49,800-16.74 71,800-16.78"
,,"40,800-16.90 64,000-16.98 50,000-16.94 62,800-16.90"
,,"100,000-16.90 39,000-16.90 52,600-16.90 168,400-16.90"
,,"179,400-16.90 73,000-17.00 30,600-17.00 30,000-16.94"
,,"40,000-16.94 100,000-16.94 50,000-16.94 45,200-16.92"
,,"78,000-16.88 64,000-16.90 428,000-16.80 157,600-16.80"
,,"199,400-16.80 67,600-16.80 42,200-16.82 Y30,000-16.82"
,,"40,800-16.90 57,600-16.88 48,800-16.90 31,200-16.90"
,,"50,400-16.90 73,800-16.92 42,800-16.88 97,200-16.80"
,,"76,600-16.70 95,600-16.70 50,000-16.60 38,800-16.76"
,,"75,800-16.78 54,800-16.76 ]/-//[ 40,000-16.76"
,,"90,000-16.72 30,000-16.72 72,400-16.60 57,400-16.56"
,,"90,000-16.60 107,200-16.60 66,600-16.60 69,200-16.60"
,,"71,600-16.64 37,800-16.60 175,000-16.60 43,800-16.74"
,,"32,400-16.72 48,400-16.80 48,600-16.80 53,400-16.82"
,,"74,400-16.80 50,000-16.78 50,800-16.84 32,600-16.84"
,,"68,600-16.84 30,000-16.80 67,600-16.80 135,000-16.78"
,,"37,400-16.80 ]< 31,600-16.86 >"
772,CHINA LIT,"< >[ ]/-//[ 14,000-42.10 12,400-42.20 ]< >"
780,TONGCHENG-ELONG,"< >[ 50,000-12.20 ]/-//[ 127,600-12.40 81,200-12.36 ]< >"
787,GLOBAL BRANDS,"< >[ 1,336,000-0.375 3,772,000-0.38 ]/-//["
,,"5,196,000-0.38 3,196,000-0.38 3,000,000-0.38"
,,"2,842,000-0.38 ]< >"
788,CHINA TOWER,"< P4,570,000-1.195 >[ 482,000-1.19 4,860,000-1.19"
,,"454,000-1.19 670,000-1.19 632,000-1.19 500,000-1.19"
,,"468,000-1.19 Y662,000-1.19 442,000-1.19 916,000-1.19"
,,"3,000,000-1.20 426,000-1.20 510,000-1.20 800,000-1.20 ]"
,,"/-//[ 910,000-1.19 456,000-1.19 456,000-1.19"
,,"1,000,000-1.19 702,000-1.19 606,000-1.19 1,202,000-1.19"
,,"2,000,000-1.19 1,000,000-1.19 848,000-1.19"
,,"1,000,000-1.19 770,000-1.19 2,374,000-1.20"
,,"1,912,000-1.20 472,000-1.20 560,000-1.20 1,440,000-1.20"
,,"496,000-1.20 536,000-1.20 936,000-1.20 488,000-1.20"
,,"1,872,000-1.20 536,000-1.20 700,000-1.20 542,000-1.20"
,,"Y758,000-1.20 1,000,000-1.20 3,242,000-1.20"
,,"1,000,000-1.20 4,242,000-1.20 658,000-1.20 470,000-1.20"
,,"1,708,000-1.20 812,000-1.20 890,000-1.20 1,656,000-1.19"
,,"844,000-1.20 Y702,000-1.20 568,000-1.20 522,000-1.20"
,,"1,048,000-1.20 454,000-1.20 600,000-1.19 702,000-1.20"
,,"692,000-1.20 892,000-1.20 424,000-1.19 570,000-1.19"
,,"436,000-1.20 580,000-1.20 882,000-1.20 696,000-1.20"
,,"892,000-1.20 512,000-1.20 842,000-1.20 1,654,000-1.19"
,,"1,078,000-1.20 ]< >"
799,IGG,"< >[ 65,000-9.70 ]/-//[ ]< >"
811,XINHUA WINSHARE,"< >[ X100,000-5.30 ]/-//[ ]< >"
813,SHIMAO PROPERTY,"< >[ 30,000-19.30 ]/-//[ ]< 29,500-19.56 44,500-19.56"
,,"27,000-19.56 26,500-19.56 >"
816,HUADIAN FUXIN,"< >[ ]/-//[ 400,000-1.64 ]< >"
817,CHINA JINMAO,"< P354,200-3.723 P151,800-3.722 >[ ]/-//["
,,"P266,000-3.717 212,000-3.65 ]< U164,000-3.67 >"
823,LINK REIT,"< 7,000-76.00 >[ 9,000-76.05 8,000-75.95 10,000-75.85"
,,"10,000-75.50 7,000-75.75 9,500-75.85 7,500-75.75"
,,"8,000-76.00 7,500-76.05 7,500-76.00 ]/-//[ 8,500-75.90"
,,"8,500-75.85 13,500-75.95 19,000-75.90 7,000-76.00"
,,"9,500-76.15 8,500-76.15 94,500-76.20 10,500-76.20"
,,"11,500-76.25 25,000-76.35 7,500-76.35 17,000-76.35"
,,"7,500-76.35 18,500-76.35 8,500-76.25 12,500-76.25"
,,"7,500-76.25 17,000-76.25 9,500-76.20 8,000-76.15"
,,"95,000-76.20 15,500-76.20 8,500-76.20 10,000-76.30"
,,"8,000-76.30 7,500-76.40 7,000-76.35 10,000-76.45 ]<"
,,"19,000-76.65 U8,500-76.65 44,500-76.65 16,000-76.65"
,,"7,500-76.65 26,500-76.65 10,000-76.65 45,000-76.65"
,,"32,500-76.65 10,000-76.65 10,500-76.65 12,000-76.65"
,,"37,500-76.65 7,500-76.65 U11,500-76.65 55,000-76.65"
,,"17,500-76.65 7,000-76.65 15,500-76.65 13,500-76.65"
,,"18,000-76.65 U8,500-76.65 32,500-76.65 17,500-76.65"
,,"11,000-76.65 7,500-76.65 14,500-76.65 30,000-76.65"
,,"7,500-76.65 U44,500-76.65 8,000-76.65 20,000-76.65"
,,"11,000-76.65 29,000-76.65 17,500-76.65 7,500-76.65"
,,"45,000-76.65 43,500-76.65 43,000-76.65 12,000-76.65"
,,"12,000-76.65 11,500-76.65 8,500-76.65 >"
832,CENTRAL CHINA,"< >[ ]/-//[ ]< 444,000-2.89 >"
836,CHINA RES POWER,"< >[ 36,000-14.58 42,000-14.60 56,000-14.60 ]/-//["
,,"36,000-14.58 68,000-14.56 74,000-14.62 42,000-14.62"
,,"52,000-14.58 48,000-14.68 36,000-14.62 40,000-14.70 ]<"
,,"68,000-14.64 98,000-14.64 62,000-14.64 138,000-14.64"
,,"102,000-14.64 56,000-14.64 U72,000-14.64 48,000-14.64"
,,"62,000-14.64 122,000-14.64 72,000-14.64 84,000-14.64"
,,"62,000-14.64 >"
839,CHINA EDU GROUP,"< >[ 50,000-11.00 57,000-10.86 ]/-//[ ]< >"
853,MICROPORT,"< >[ X250,000-9.11 X1,000,000-9.10 X500,000-9.11"
,,"X1,000,000-9.09 ]/-//[ X650,000-8.915 X137,644-8.946 ]"
,,< >
855,CHINA WATER,"< >[ 134,000-8.75 X944,000-8.755 60,000-8.81"
,,"70,000-8.81 80,000-8.80 ]/-//[ 400,000-8.80 ]< >"
857,PETROCHINA,"< P300,000-5.70 P2,700,000-5.699 >[ 100,000-5.64"
,,"96,000-5.65 102,000-5.62 112,000-5.63 114,000-5.63"
,,"126,000-5.64 168,000-5.64 112,000-5.64 214,000-5.64"
,,"500,000-5.65 124,000-5.65 96,000-5.64 250,000-5.64"
,,"500,000-5.66 174,000-5.64 100,000-5.64 180,000-5.63"
,,"94,000-5.63 114,000-5.63 94,000-5.63 224,000-5.64"
,,"94,000-5.64 100,000-5.65 200,000-5.65 110,000-5.66"
,,"100,000-5.66 148,000-5.66 218,000-5.67 114,000-5.67"
,,"128,000-5.67 160,000-5.66 108,000-5.65 94,000-5.66"
,,"142,000-5.66 94,000-5.66 100,000-5.66 100,000-5.66"
,,"100,000-5.67 92,000-5.66 ]/-//[ 100,000-5.65"
,,"102,000-5.64 94,000-5.63 124,000-5.63 96,000-5.63"
,,"94,000-5.64 178,000-5.64 94,000-5.64 394,000-5.64"
,,"94,000-5.64 94,000-5.64 90,000-5.65 500,000-5.65"
,,"96,000-5.65 144,000-5.65 92,000-5.65 100,000-5.65"
,,"94,000-5.67 98,000-5.67 452,000-5.67 122,000-5.67"
,,"X140,000-5.68 104,000-5.67 100,000-5.66 398,000-5.66"
,,"366,000-5.66 198,000-5.66 100,000-5.66 310,000-5.66"
,,"156,000-5.66 100,000-5.66 112,000-5.65 186,000-5.65"
,,"324,000-5.66 118,000-5.66 118,000-5.66 156,000-5.66"
,,"180,000-5.66 124,000-5.67 100,000-5.66 100,000-5.66 ]<"
,,"98,000-5.67 92,000-5.67 732,000-5.67 654,000-5.67"
,,"152,000-5.67 112,000-5.67 768,000-5.67 236,000-5.67"
,,"170,000-5.67 316,000-5.67 342,000-5.67 208,000-5.67"
,,"204,000-5.67 550,000-5.67 90,000-5.67 216,000-5.67"
,,"220,000-5.67 170,000-5.67 128,000-5.67 232,000-5.67"
,,"116,000-5.67 96,000-5.67 110,000-5.67 238,000-5.67"
,,"U122,000-5.67 102,000-5.67 U98,000-5.67 100,000-5.67"
,,"110,000-5.67 100,000-5.67 100,000-5.67 90,000-5.67"
,,"200,000-5.67 120,000-5.67 234,000-5.67 200,000-5.67"
,,"198,000-5.67 164,000-5.67 522,000-5.67 >"
867,CMS,"< >[ 56,000-8.97 ]/-//[ ]< 82,000-9.15 >"
868,XINYI GLASS,"< >[ 98,000-9.00 ]/-//[ X98,000-8.91 ]< 68,000-8.90"
,,"98,000-8.90 114,000-8.90 1,222,000-8.90 230,000-8.90"
,,"88,000-8.90 >"
874,BAIYUNSHAN PH,"< >[ 30,000-33.45 18,000-33.40 ]/-//[ Y16,000-33.30"
,,"22,000-33.30 Y42,000-33.75 16,000-33.50 38,000-33.40"
,,"20,000-33.75 ]< >"
880,SJM HOLDINGS,"< >[ 115,000-7.58 80,000-7.58 76,000-7.63 70,000-7.62"
,,"100,000-7.61 281,000-7.61 110,000-7.63 ]/-//["
,,"75,000-7.63 245,000-7.60 189,000-7.62 ]< 92,000-7.67 >"
881,ZHONGSHENG HLDG,"< >[ 30,000-16.80 40,000-17.00 69,500-17.06"
,,"88,000-17.00 77,000-17.00 49,500-17.16 30,000-17.20"
,,"56,500-17.38 44,500-17.38 205,500-17.38 31,500-17.38"
,,"50,000-17.38 38,000-17.36 51,000-17.36 29,500-17.48"
,,"38,000-17.48 29,000-17.58 65,000-17.48 30,500-17.40 ]"
,,"/-//[ 30,000-17.10 30,000-17.10 40,500-17.28"
,,"37,000-17.36 30,000-17.38 X250,000-17.35 X218,000-17.35"
,,"]< 39,000-17.40 37,500-17.40 32,000-17.40 30,000-17.40"
,,"44,500-17.40 38,000-17.40 31,000-17.40 >"
883,CNOOC,"< P2,900,000-13.721 P800,000-13.735 P442,000-13.744"
,,"37,000-13.68 102,000-13.68 42,000-13.68 78,000-13.68"
,,"44,000-13.68 37,000-13.68 200,000-13.68 52,000-13.68"
,,"53,000-13.68 75,000-13.68 41,000-13.68 44,000-13.68"
,,"53,000-13.68 U103,000-13.68 78,000-13.68 42,000-13.68"
,,"242,000-13.68 U141,000-13.68 391,000-13.68 >["
,,"50,000-13.68 62,000-13.66 180,000-13.66 90,000-13.66"
,,"121,000-13.66 76,000-13.66 50,000-13.60 67,000-13.66"
,,"53,000-13.66 60,000-13.66 38,000-13.62 51,000-13.66"
,,"39,000-13.64 119,000-13.64 47,000-13.60 93,000-13.62"
,,"45,000-13.64 40,000-13.62 148,000-13.60 38,000-13.64"
,,"40,000-13.64 50,000-13.64 Y52,000-13.62 63,000-13.60"
,,"40,000-13.60 39,000-13.60 50,000-13.60 37,000-13.60"
,,"59,000-13.64 200,000-13.64 40,000-13.62 137,000-13.64"
,,"37,000-13.64 70,000-13.64 200,000-13.62 50,000-13.64"
,,"60,000-13.64 44,000-13.64 60,000-13.64 40,000-13.64"
,,"40,000-13.64 98,000-13.66 40,000-13.66 39,000-13.64"
,,"60,000-13.64 40,000-13.62 122,000-13.62 40,000-13.62"
,,"92,000-13.62 151,000-13.62 41,000-13.62 40,000-13.64"
,,"90,000-13.68 54,000-13.66 71,000-13.66 44,000-13.66"
,,"47,000-13.66 57,000-13.66 41,000-13.66 140,000-13.66"
,,"53,000-13.66 51,000-13.66 43,000-13.66 43,000-13.66"
,,"55,000-13.66 60,000-13.68 40,000-13.66 96,000-13.68"
,,"55,000-13.68 41,000-13.68 56,000-13.70 37,000-13.70"
,,"39,000-13.72 43,000-13.76 40,000-13.76 64,000-13.72"
,,"61,000-13.72 37,000-13.72 42,000-13.70 52,000-13.70"
,,"41,000-13.70 100,000-13.70 38,000-13.72 42,000-13.72"
,,"125,000-13.74 Y53,000-13.74 41,000-13.74 52,000-13.72"
,,"84,000-13.72 62,000-13.72 57,000-13.72 ]/-//["
,,"54,000-13.72 39,000-13.70 38,000-13.70 50,000-13.70"
,,"68,000-13.76 62,000-13.76 59,000-13.78 57,000-13.78"
,,"40,000-13.74 41,000-13.72 50,000-13.70 71,000-13.70"
,,"53,000-13.70 49,000-13.70 58,000-13.70 50,000-13.70"
,,"43,000-13.70 57,000-13.70 50,000-13.70 X42,000-13.72"
,,"39,000-13.70 97,000-13.72 68,000-13.72 50,000-13.72"
,,"64,000-13.72 103,000-13.72 X78,000-13.74 200,000-13.74"
,,"63,000-13.74 70,000-13.74 48,000-13.74 37,000-13.72"
,,"39,000-13.72 X51,000-13.74 Y75,000-13.78 59,000-13.78"
,,"46,000-13.78 189,000-13.78 86,000-13.78 37,000-13.78"
,,"45,000-13.78 38,000-13.78 43,000-13.78 43,000-13.78"
,,"103,000-13.78 64,000-13.78 103,000-13.76 44,000-13.76"
,,"94,000-13.76 55,000-13.76 89,000-13.74 120,000-13.74"
,,"50,000-13.74 112,000-13.74 44,000-13.72 60,000-13.74"
,,"78,000-13.70 39,000-13.70 38,000-13.72 40,000-13.72"
,,"83,000-13.72 75,000-13.74 42,000-13.74 77,000-13.74"
,,"42,000-13.76 38,000-13.76 89,000-13.76 56,000-13.76"
,,"94,000-13.76 65,000-13.76 54,000-13.78 58,000-13.78"
,,"54,000-13.80 42,000-13.80 96,000-13.80 91,000-13.78"
,,"52,000-13.78 50,000-13.82 136,000-13.82 84,000-13.82"
,,"56,000-13.82 39,000-13.82 52,000-13.82 56,000-13.80"
,,"46,000-13.82 54,000-13.82 100,000-13.82 46,000-13.82"
,,"51,000-13.84 65,000-13.82 100,000-13.84 ]< 59,000-13.84"
,,"60,000-13.84 93,000-13.84 261,000-13.84 490,000-13.84"
,,"61,000-13.84 57,000-13.84 253,000-13.84 75,000-13.84"
,,"85,000-13.84 59,000-13.84 59,000-13.84 79,000-13.84"
,,"130,000-13.84 43,000-13.84 56,000-13.84 115,000-13.84"
,,"62,000-13.84 140,000-13.84 272,000-13.84 448,000-13.84"
,,"1,040,000-13.84 39,000-13.84 120,000-13.84"
,,"105,000-13.84 74,000-13.84 119,000-13.84 86,000-13.84"
,,"71,000-13.84 42,000-13.84 38,000-13.84 38,000-13.84"
,,"96,000-13.84 109,000-13.84 59,000-13.84 115,000-13.84"
,,"240,000-13.84 U100,000-13.84 312,000-13.84 40,000-13.84"
,,"62,000-13.84 244,000-13.84 185,000-13.84 62,000-13.84"
,,"47,000-13.84 244,000-13.84 206,000-13.84 38,000-13.84"
,,"199,000-13.84 243,000-13.84 76,000-13.84 134,000-13.84"
,,"74,000-13.84 101,000-13.84 186,000-13.84 179,000-13.84"
,,"87,000-13.84 50,000-13.84 84,000-13.84 243,000-13.84"
,,"72,000-13.84 57,000-13.84 55,000-13.84 >"
884,CIFI HOLD GP,"< >[ 144,000-3.80 ]/-//[ 300,000-3.74 ]< >"
888,BISON FINANCE,"< >[ ]/-//[ 500,000-1.13 498,000-1.12 1,968,000-1.14"
,,"Y500,000-1.14 500,000-1.13 ]< >"
902,HUANENG POWER,"< P2,712,000-4.911 P678,000-4.91 >[ 116,000-4.94"
,,"114,000-4.93 200,000-4.92 220,000-4.92 132,000-4.92"
,,"136,000-4.92 232,000-4.95 110,000-4.95 118,000-4.95"
,,"140,000-4.96 Y300,000-4.96 198,000-4.97 252,000-4.97"
,,"160,000-4.96 158,000-4.96 114,000-4.96 162,000-4.95"
,,"134,000-4.95 154,000-4.95 102,000-4.95 200,000-4.95"
,,"300,000-4.95 ]/-//[ 166,000-4.97 124,000-4.99"
,,"164,000-4.98 200,000-4.97 176,000-4.96 106,000-4.96 ]<"
,,"154,000-5.00 116,000-5.00 180,000-5.00 130,000-5.00 >"
905,GLOBAL M CAP,"< >[ ]/-//[ 3,008,000-0.198 ]< >"
914,CONCH CEMENT,"< >[ 20,000-41.75 40,500-41.65 18,500-41.75"
,,"29,500-41.55 21,000-41.50 14,000-41.55 28,000-41.40"
,,"22,000-41.40 17,500-41.35 16,500-41.35 18,500-41.35"
,,"15,500-41.30 33,500-41.30 13,500-41.25 21,000-41.25"
,,"17,000-41.20 12,500-41.25 17,000-41.20 16,000-41.15"
,,"30,000-41.15 X87,500-42.18 26,500-41.10 15,000-41.10"
,,"35,500-41.05 15,000-41.05 35,500-41.05 50,000-41.00"
,,"30,000-41.00 15,000-41.00 19,500-40.95 29,500-40.95"
,,"19,500-40.95 Y15,000-40.95 34,500-40.95 29,500-40.95"
,,"15,500-40.95 15,000-40.95 21,500-40.90 30,000-40.90"
,,"14,500-40.85 15,000-40.85 21,500-40.85 24,000-40.80"
,,"15,500-40.85 19,500-40.80 20,000-40.70 14,500-40.80"
,,"17,000-40.75 18,000-40.75 14,000-40.80 ]/-//["
,,"15,500-40.70 13,000-40.70 44,500-40.70 27,500-40.70"
,,"17,500-40.65 16,000-40.65 13,500-40.65 30,500-40.70"
,,"14,000-40.70 14,500-40.90 13,500-40.75 25,000-40.65"
,,"24,000-40.65 47,500-40.65 19,000-40.65 28,000-40.70"
,,"14,500-40.70 20,000-40.85 13,500-40.95 43,500-40.90"
,,"16,500-40.90 22,500-40.85 13,500-40.85 13,000-40.85"
,,"13,000-40.85 23,000-40.85 18,000-40.90 15,000-40.80"
,,"23,000-40.80 34,500-40.75 13,000-40.75 Y32,000-40.75"
,,"22,500-40.70 Y20,500-40.70 20,000-40.70 13,500-40.70"
,,"30,000-40.75 34,500-40.80 15,500-40.95 20,000-41.10"
,,"19,000-41.15 20,000-41.15 12,500-41.20 13,000-41.25"
,,"35,500-41.30 30,000-41.35 24,500-41.35 18,000-41.30"
,,"38,000-41.40 16,500-41.40 14,500-41.40 15,000-41.35"
,,"X20,500-41.40 22,000-41.40 23,500-41.40 30,000-41.45"
,,"12,500-41.40 14,000-41.40 17,500-41.40 14,500-41.40"
,,"15,000-41.45 30,000-41.50 57,500-41.50 71,000-41.50"
,,"24,500-41.50 33,000-41.50 16,500-41.45 19,000-41.45"
,,"17,500-41.50 36,000-41.55 28,500-41.60 60,000-41.65"
,,"33,000-41.65 19,000-41.60 13,500-41.55 18,000-41.55"
,,"17,000-41.50 14,000-41.50 16,500-41.50 18,000-41.50"
,,"15,500-41.45 25,000-41.40 17,500-41.40 ]< 80,000-41.40"
,,"13,000-41.40 41,000-41.40 17,000-41.40 87,000-41.40"
,,"14,500-41.40 17,500-41.40 24,500-41.40 19,000-41.40"
,,"100,000-41.40 22,000-41.40 20,000-41.40 20,000-41.40"
,,"17,000-41.40 48,000-41.40 48,000-41.40 18,000-41.40"
,,"45,500-41.40 46,500-41.40 27,500-41.40 20,500-41.40"
,,"19,000-41.40 37,500-41.40 >"
916,CHINA LONGYUAN,"< >[ 86,000-6.03 X100,000-6.045 X100,000-6.025 ]/-//["
,,"X100,000-6.025 X100,000-6.015 X100,000-6.005"
,,"X100,000-6.015 X100,000-6.005 X100,000-5.995"
,,"85,000-5.99 X100,000-5.995 X100,000-5.985 X88,000-5.995"
,,"]< 461,000-6.01 98,000-6.01 116,000-6.01 U94,000-6.01"
,,"86,000-6.01 122,000-6.01 102,000-6.01 112,000-6.01"
,,"U461,000-6.01 119,000-6.01 104,000-6.01 122,000-6.01 >"
931,CHINA LNG,"< >[ 400,000-1.49 ]/-//[ ]< >"
939,CCB,"< 248,000-6.80 98,000-6.80 152,000-6.80 85,000-6.80"
,,"198,000-6.80 103,000-6.80 79,000-6.80 82,000-6.80"
,,"95,000-6.80 128,000-6.80 97,000-6.80 104,000-6.80"
,,"204,000-6.80 107,000-6.80 177,000-6.80 142,000-6.80"
,,"87,000-6.80 100,000-6.80 234,000-6.80 113,000-6.80"
,,"925,000-6.80 300,000-6.80 >[ 100,000-6.79 127,000-6.78"
,,"116,000-6.78 157,000-6.78 650,000-6.78 75,000-6.78"
,,"195,000-6.77 200,000-6.78 128,000-6.78 209,000-6.78"
,,"77,000-6.77 163,000-6.77 219,000-6.77 80,000-6.77"
,,"188,000-6.77 80,000-6.77 125,000-6.77 82,000-6.76"
,,"148,000-6.76 152,000-6.76 82,000-6.76 94,000-6.76"
,,"89,000-6.75 235,000-6.76 74,000-6.76 138,000-6.76"
,,"100,000-6.76 555,000-6.77 276,000-6.77 344,000-6.77"
,,"1,000,000-6.77 577,000-6.77 277,000-6.77 75,000-6.77"
,,"434,000-6.78 500,000-6.78 151,000-6.78 889,000-6.78"
,,"591,000-6.78 102,000-6.79 186,000-6.79 224,000-6.79"
,,"246,000-6.78 142,000-6.78 170,000-6.78 299,000-6.78"
,,"397,000-6.78 213,000-6.78 1,032,000-6.78 213,000-6.78"
,,"105,000-6.78 100,000-6.78 150,000-6.78 144,000-6.78"
,,"500,000-6.78 160,000-6.78 107,000-6.78 106,000-6.78"
,,"82,000-6.78 141,000-6.78 283,000-6.78 109,000-6.78"
,,"200,000-6.78 100,000-6.78 230,000-6.79 399,000-6.79"
,,"184,000-6.79 834,000-6.79 544,000-6.79 132,000-6.79"
,,"74,000-6.79 85,000-6.80 156,000-6.80 200,000-6.80"
,,"117,000-6.80 89,000-6.80 98,000-6.81 284,000-6.80"
,,"102,000-6.80 100,000-6.79 252,000-6.80 83,000-6.80"
,,"153,000-6.80 141,000-6.80 300,000-6.81 81,000-6.81"
,,"147,000-6.81 156,000-6.81 265,000-6.81 99,000-6.82"
,,"175,000-6.82 116,000-6.81 140,000-6.81 299,000-6.81"
,,"174,000-6.81 81,000-6.81 854,000-6.80 148,000-6.80"
,,"191,000-6.80 103,000-6.80 300,000-6.80 300,000-6.80"
,,"465,000-6.79 95,000-6.79 200,000-6.79 100,000-6.79"
,,"139,000-6.79 80,000-6.79 84,000-6.79 500,000-6.79"
,,"172,000-6.79 474,000-6.79 250,000-6.79 79,000-6.79"
,,"437,000-6.79 75,000-6.79 76,000-6.79 75,000-6.80"
,,"86,000-6.80 200,000-6.80 147,000-6.80 140,000-6.80"
,,"140,000-6.80 93,000-6.80 211,000-6.80 84,000-6.80"
,,"200,000-6.80 124,000-6.80 137,000-6.80 167,000-6.81"
,,"91,000-6.81 106,000-6.80 104,000-6.80 300,000-6.80"
,,"156,000-6.80 232,000-6.80 281,000-6.80 160,000-6.80"
,,"140,000-6.80 88,000-6.80 180,000-6.80 81,000-6.80"
,,"200,000-6.80 108,000-6.80 193,000-6.80 154,000-6.80"
,,"443,000-6.81 112,000-6.80 148,000-6.80 99,000-6.80"
,,"400,000-6.80 300,000-6.80 200,000-6.79 159,000-6.79"
,,"823,000-6.79 418,000-6.79 144,000-6.79 157,000-6.79"
,,"129,000-6.79 128,000-6.79 100,000-6.78 100,000-6.78"
,,"100,000-6.78 123,000-6.78 135,000-6.78 133,000-6.78"
,,"209,000-6.78 285,000-6.78 84,000-6.78 219,000-6.78"
,,"130,000-6.78 226,000-6.78 121,000-6.78 81,000-6.78"
,,"138,000-6.78 99,000-6.78 548,000-6.78 84,000-6.77"
,,"79,000-6.77 184,000-6.77 214,000-6.78 147,000-6.78"
,,"159,000-6.78 285,000-6.78 571,000-6.78 451,000-6.78"
,,"693,000-6.78 332,000-6.78 370,000-6.78 135,000-6.78"
,,"76,000-6.78 74,000-6.78 214,000-6.79 570,000-6.79"
,,"140,000-6.79 80,000-6.79 273,000-6.79 140,000-6.79"
,,"500,000-6.79 572,000-6.79 286,000-6.79 129,000-6.79"
,,"221,000-6.79 1,000,000-6.79 821,000-6.79 75,000-6.79"
,,"100,000-6.79 84,000-6.80 148,000-6.80 124,000-6.80"
,,"140,000-6.80 200,000-6.80 159,000-6.80 91,000-6.80"
,,"156,000-6.80 108,000-6.80 221,000-6.80 624,000-6.80"
,,"328,000-6.80 101,000-6.80 156,000-6.81 119,000-6.81"
,,"156,000-6.81 200,000-6.81 112,000-6.81 200,000-6.82"
,,"158,000-6.82 120,000-6.81 103,000-6.81 118,000-6.81"
,,"156,000-6.81 91,000-6.81 190,000-6.81 379,000-6.81"
,,"338,000-6.81 127,000-6.81 136,000-6.81 107,000-6.80"
,,"134,000-6.80 205,000-6.80 85,000-6.80 79,000-6.80"
,,"102,000-6.80 200,000-6.81 160,000-6.81 260,000-6.81"
,,"337,000-6.81 78,000-6.81 118,000-6.81 157,000-6.81"
,,"156,000-6.82 118,000-6.82 100,000-6.81 83,000-6.81"
,,"142,000-6.81 144,000-6.81 328,000-6.81 90,000-6.80"
,,"105,000-6.80 92,000-6.80 156,000-6.80 256,000-6.80"
,,"156,000-6.80 100,000-6.80 234,000-6.80 266,000-6.80"
,,"100,000-6.79 100,000-6.79 553,000-6.80 X81,000-6.79"
,,"92,000-6.80 197,000-6.80 487,000-6.80 139,000-6.80"
,,"537,000-6.80 93,000-6.80 160,000-6.80 305,000-6.80"
,,"128,000-6.80 93,000-6.80 110,000-6.80 229,000-6.80"
,,"903,000-6.80 1,868,000-6.80 949,000-6.80 364,000-6.80"
,,"140,000-6.80 186,000-6.80 675,000-6.80 230,000-6.80"
,,"94,000-6.80 256,000-6.80 249,000-6.80 157,000-6.80"
,,"156,000-6.80 156,000-6.80 150,000-6.80 289,000-6.80"
,,"147,000-6.80 102,000-6.80 200,000-6.80 100,000-6.80"
,,"470,000-6.80 164,000-6.80 535,000-6.80 176,000-6.80"
,,"300,000-6.80 353,000-6.80 175,000-6.80 83,000-6.80"
,,"166,000-6.80 345,000-6.80 733,000-6.80 542,000-6.80"
,,"210,000-6.80 89,000-6.80 500,000-6.80 441,000-6.80"
,,"119,000-6.80 500,000-6.80 400,000-6.81 210,000-6.81"
,,"164,000-6.81 142,000-6.81 213,000-6.81 ]/-//["
