CODE,NAME OF STOCK,SALES RECORD
,,"10,800-67.85 7,600-67.85 14,800-67.90 20,000-67.90"
,,"8,400-67.90 10,400-67.90 8,000-67.90 25,600-67.90"
,,"8,400-67.90 9,600-67.95 13,200-67.95 8,800-67.95"
,,"10,400-67.95 10,000-67.95 10,000-67.95 14,400-67.95"
,,"15,600-67.95 10,000-67.95 18,800-67.95 16,800-67.95"
,,"8,000-67.95 11,200-68.00 14,000-68.00 9,200-68.00"
,,"15,600-68.00 15,600-68.00 10,000-68.00 17,200-68.00"
,,"7,600-68.00 20,400-68.00 32,000-68.00 10,400-68.00"
,,"7,600-68.00 25,600-68.00 10,000-68.00 8,400-68.00"
,,"10,000-68.00 8,000-67.95 48,800-67.95 8,800-67.95"
,,"25,600-67.95 8,800-67.90 52,800-67.95 16,000-67.95"
,,"15,200-67.95 9,600-67.95 10,000-67.95 24,800-67.95"
,,"16,000-67.95 14,000-67.95 81,200-67.95 9,600-67.95"
,,"10,000-67.95 10,800-67.90 9,200-67.90 9,200-67.95"
,,"11,200-67.95 9,600-68.00 43,600-68.00 8,000-68.00"
,,"8,000-68.05 10,000-68.05 12,800-68.05 8,400-68.05"
,,"14,800-68.05 38,400-68.05 10,000-68.05 8,400-68.05"
,,"24,400-68.05 10,000-68.10 24,000-68.05 22,800-68.05"
,,"24,000-68.10 20,400-68.05 35,600-68.00 10,000-68.00"
,,"14,400-68.00 15,200-68.05 10,000-68.00 21,600-68.00"
,,"24,000-68.00 10,000-68.00 9,200-68.00 8,800-68.00"
,,"11,600-68.00 19,200-68.00 10,000-68.00 10,000-68.00"
,,"10,000-68.00 7,600-68.00 12,400-67.95 40,000-67.95"
,,"8,400-67.95 16,000-67.95 51,600-67.95 8,400-67.90"
,,"8,000-67.90 9,600-67.90 10,000-67.90 8,400-67.90"
,,"M34,000-68.05 9,200-67.95 8,000-67.95 22,800-67.95"
,,"9,200-67.95 10,400-67.95 8,400-67.95 11,200-67.95"
,,"29,200-67.95 10,000-67.95 13,200-67.95 9,600-67.95"
,,"22,000-67.95 15,200-67.95 8,400-67.95 53,600-67.95"
,,"9,200-67.95 8,000-67.95 7,600-67.90 11,200-67.95"
,,"M68,000-68.05 8,000-68.00 8,400-68.00 12,000-68.00"
,,"10,400-68.00 11,200-68.00 12,400-68.00 7,600-68.00"
,,"40,400-68.00 10,000-67.95 M51,200-68.05 8,000-67.95"
,,"8,000-68.00 12,400-67.95 11,600-68.00 10,000-67.95"
,,"7,600-67.95 8,000-67.95 8,000-67.90 10,400-67.95"
,,"10,000-67.95 9,600-67.95 9,200-67.95 11,600-67.95"
,,"8,400-67.95 22,400-67.95 8,000-67.95 7,600-67.95"
,,"10,000-67.95 7,600-67.95 10,800-67.95 10,000-68.00"
,,"8,400-68.00 9,200-68.05 ]< 60,400-68.10 8,400-68.10"
,,"14,000-68.10 146,000-68.10 28,400-68.10 10,000-68.10"
,,"21,600-68.10 36,000-68.10 44,000-68.10 12,000-68.10"
,,"8,000-68.10 7,600-68.10 7,600-68.10 8,400-68.10"
,,"9,200-68.10 57,200-68.10 10,000-68.10 20,400-68.10"
,,"30,000-68.10 30,000-68.10 13,200-68.10 57,200-68.10"
,,"10,000-68.10 16,000-68.10 12,800-68.10 38,400-68.10"
,,"50,000-68.10 12,000-68.10 10,000-68.10 10,000-68.10"
,,"10,800-68.10 8,400-68.10 8,000-68.10 >"
6,POWER ASSETS,"< >[ 20,000-52.50 20,000-52.50 20,000-52.50"
,,"10,000-52.50 17,000-52.50 13,500-52.75 10,000-52.75"
,,"12,000-52.75 ]/-//[ 23,500-52.65 14,500-52.65"
,,"13,000-52.70 11,000-52.70 17,500-52.70 Y10,000-52.70"
,,"10,000-52.65 13,000-52.65 9,500-52.65 9,500-52.65"
,,"9,500-52.70 12,000-52.70 9,500-52.75 X704,000-52.70"
,,"10,000-52.75 10,000-52.70 14,000-52.65 10,000-52.60 ]<"
,,"12,000-52.70 10,000-52.70 17,000-52.70 17,500-52.70"
,,"12,000-52.70 9,500-52.70 14,500-52.70 12,500-52.70"
,,"13,500-52.70 75,500-52.70 13,000-52.70 14,000-52.70"
,,"9,500-52.70 16,000-52.70 >"
7,HK FINANCE INV,"< >[ ]/-//[ 650,000-0.94 ]< >"
8,PCCW,"< >[ ]/-//[ ]< 151,000-4.51 116,000-4.51 161,000-4.51"
,,"161,000-4.51 >"
10,HANG LUNG GROUP,"< P67,200-21.595 P44,800-21.596 >[ X300,000-21.50 ]/-//"
,,"[ ]< 47,000-21.60 24,000-21.60 >"
11,HANG SENG BANK,"< >[ 3,100-183.80 2,800-183.80 3,400-183.40"
,,"Y4,300-183.50 3,300-183.50 3,800-183.60 7,600-183.70"
,,"3,900-183.80 2,900-184.20 3,000-184.40 14,900-184.40"
,,"2,900-184.40 4,000-184.40 14,500-184.40 27,000-184.40"
,,"3,200-184.40 3,400-184.00 18,800-184.00 3,000-184.60"
,,"3,000-184.80 4,800-184.90 3,100-185.20 3,300-185.40"
,,"Y6,000-185.50 7,100-186.10 Y3,000-186.10 3,000-185.80 ]"
,,"/-//[ 2,700-185.70 2,800-185.60 6,900-185.60"
,,"Y3,000-185.60 2,900-185.30 Y5,500-185.40 4,300-185.30"
,,"6,500-185.30 2,700-185.30 7,600-185.40 3,100-185.50"
,,"2,700-185.50 7,000-186.00 5,000-186.00 4,000-185.90"
,,"5,800-186.10 5,000-186.40 5,300-186.40 3,900-186.50"
,,"2,900-186.40 5,900-186.60 5,000-186.90 3,400-186.90"
,,"6,000-187.00 5,000-187.00 5,000-187.00 5,000-187.00"
,,"3,300-187.00 5,000-187.00 4,400-187.00 12,000-187.10 ]<"
,,"9,000-187.20 U4,500-187.20 4,000-187.20 3,800-187.20"
,,"4,600-187.20 6,700-187.20 7,500-187.20 12,600-187.20"
,,"4,600-187.20 3,900-187.20 19,400-187.20 U17,200-187.20"
,,"11,300-187.20 4,500-187.20 6,700-187.20 3,000-187.20"
,,"5,000-187.20 U3,300-187.20 9,900-187.20 7,600-187.20"
,,"8,700-187.20 5,600-187.20 7,700-187.20 3,400-187.20"
,,"4,400-187.20 4,000-187.20 6,500-187.20 2,900-187.20"
,,"U17,100-187.20 7,000-187.20 9,200-187.20 10,500-187.20"
,,"7,600-187.20 20,800-187.20 3,000-187.20 2,700-187.20 >"
12,HENDERSON LAND,"< >[ 14,000-40.65 13,000-40.65 ]/-//[ ]< 14,000-40.60"
,,"20,000-40.60 16,000-40.60 22,000-40.60 30,000-40.60"
,,"13,000-40.60 >"
14,HYSAN DEV,"< P78,000-38.10 >[ ]/-//[ ]< 30,000-37.90 >"
16,SHK PPT,"< P8,878-111.80 5,500-114.20 5,500-114.20 >["
,,"7,500-113.30 8,000-113.30 6,000-113.40 10,000-113.20"
,,"4,500-113.20 5,000-113.20 4,500-113.10 4,500-113.10"
,,"5,000-113.30 7,000-113.30 4,500-113.40 6,500-113.50"
,,"4,500-113.50 6,000-113.80 6,000-113.70 4,500-113.80"
,,"5,000-113.80 10,000-113.80 10,000-113.80 7,500-113.80"
,,"4,500-113.80 6,000-113.80 4,500-114.00 5,500-114.00"
,,"4,500-114.20 40,000-114.20 6,000-114.30 4,500-114.30"
,,"5,000-114.30 6,000-114.30 5,500-114.10 ]/-//["
,,"24,500-114.10 11,000-114.10 6,000-114.00 10,000-114.00"
,,"5,500-114.00 5,000-114.00 15,000-113.90 6,500-113.90"
,,"11,000-113.90 15,500-113.90 6,500-113.90 4,500-113.70"
,,"9,500-113.60 10,000-113.60 7,500-113.60 6,500-113.50"
,,"5,500-113.50 7,000-113.30 7,500-113.40 5,500-113.40"
,,"14,500-113.40 6,000-113.40 Y7,500-113.50 5,000-113.50"
,,"7,500-113.50 5,000-113.70 5,000-113.70 5,500-113.60"
,,"6,000-113.50 4,500-113.50 5,000-113.50 4,500-113.60"
,,"4,500-113.60 4,500-113.50 4,500-113.60 4,500-113.60"
,,"8,000-113.50 5,000-113.60 5,000-113.60 Y7,000-113.60 ]<"
,,"5,000-113.60 4,500-113.60 8,000-113.60 5,500-113.60"
,,"8,500-113.60 6,500-113.60 7,500-113.60 6,500-113.60"
,,"15,000-113.60 8,000-113.60 12,000-113.60 9,000-113.60"
,,"9,000-113.60 13,000-113.60 10,000-113.60 10,500-113.60"
,,"5,000-113.60 10,000-113.60 8,500-113.60 5,000-113.60"
,,"7,000-113.60 5,000-113.60 6,500-113.60 19,000-113.60"
,,"49,000-113.60 5,500-113.60 15,500-113.60 5,000-113.60"
,,"16,500-113.60 U35,500-113.60 20,500-113.60"
,,"10,500-113.60 8,000-113.60 14,000-113.60 20,000-113.60"
,,"18,000-113.60 >"
17,NEW WORLD DEV,"< >[ 50,000-10.82 73,000-10.82 ]/-//[ 50,000-10.82"
,,"50,000-10.80 83,000-10.80 55,000-10.82 60,000-10.80"
,,"51,000-10.80 ]< 64,000-10.84 57,000-10.84 85,000-10.84"
,,"72,000-10.84 84,000-10.84 64,000-10.84 U93,000-10.84"
,,"100,000-10.84 100,000-10.84 50,000-10.84 100,000-10.84 >"
19,SWIRE PACIFIC A,"< P25,000-87.726 >[ 8,500-85.85 14,000-85.40"
,,"7,000-84.85 7,000-84.80 6,000-84.70 ]/-//[ 13,000-84.60"
,,"7,000-84.75 12,000-84.85 8,000-84.85 6,500-84.80 ]<"
,,"U16,500-85.05 12,500-85.05 U8,500-85.05 9,000-85.05"
,,"7,500-85.05 15,000-85.05 10,000-85.05 8,500-85.05"
,,"6,000-85.05 7,500-85.05 6,000-85.05 19,500-85.05 >"
20,WHEELOCK,"< >[ ]/-//[ ]< 13,000-45.90 14,000-45.90 25,000-45.90"
,,"14,000-45.90 16,000-45.90 >"
27,GALAXY ENT,"< P38,000-49.578 21,000-53.00 10,000-53.00 10,000-53.00"
,,"U17,000-53.00 10,000-53.00 13,000-53.00 10,000-53.00"
,,"10,000-53.00 >[ 12,000-52.80 10,000-52.80 15,000-52.80"
,,"13,000-52.60 17,000-52.80 10,000-52.40 46,000-52.50"
,,"10,000-52.30 10,000-52.40 10,000-53.00 29,000-53.00"
,,"20,000-53.00 13,000-53.00 24,000-53.00 10,000-53.00"
,,"16,000-52.70 10,000-52.85 10,000-52.90 10,000-53.00"
,,"42,000-53.00 10,000-53.00 121,000-53.00 17,000-53.00"
,,"12,000-53.00 10,000-53.00 11,000-53.00 14,000-53.00"
,,"10,000-52.95 10,000-53.05 14,000-53.05 17,000-53.15"
,,"13,000-53.15 13,000-53.10 10,000-53.05 10,000-53.05"
,,"11,000-53.15 10,000-53.10 10,000-53.00 10,000-53.00"
,,"16,000-53.00 21,000-53.05 12,000-53.05 14,000-53.20"
,,"12,000-53.35 33,000-53.35 10,000-53.20 10,000-53.05"
,,"10,000-52.80 15,000-52.65 12,000-52.65 11,000-52.65"
,,"16,000-52.75 27,000-52.80 14,000-52.85 10,000-52.85"
,,"10,000-52.95 16,000-52.95 10,000-53.00 10,000-53.00"
,,"17,000-53.00 30,000-53.00 10,000-52.85 18,000-52.85"
,,"10,000-52.85 18,000-52.80 10,000-52.75 19,000-52.70"
,,"Y14,000-52.60 42,000-52.60 12,000-52.60 13,000-52.55"
,,"10,000-52.55 11,000-52.55 13,000-52.55 19,000-52.50"
,,"26,000-52.50 10,000-52.65 20,000-52.65 10,000-52.55"
,,"19,000-52.65 28,000-52.65 ]/-//[ 12,000-52.50"
,,"16,000-52.45 12,000-52.30 18,000-52.30 10,000-52.30"
,,"18,000-52.20 10,000-52.05 10,000-52.05 10,000-52.05"
,,"10,000-52.00 10,000-52.00 10,000-52.00 10,000-51.95"
,,"10,000-51.90 13,000-51.95 11,000-52.00 13,000-52.00"
,,"10,000-52.05 40,000-52.05 12,000-52.00 10,000-52.00"
,,"13,000-52.05 10,000-52.10 10,000-52.10 11,000-52.10"
,,"10,000-52.15 10,000-52.20 60,000-52.20 10,000-52.25"
,,"10,000-52.25 10,000-52.25 17,000-52.30 10,000-52.30"
,,"10,000-52.30 10,000-52.30 10,000-52.30 18,000-52.30"
,,"10,000-52.35 10,000-52.35 14,000-52.35 19,000-52.35"
,,"17,000-52.40 Y10,000-52.45 71,000-52.30 21,000-52.30"
,,"14,000-52.30 11,000-52.35 14,000-52.30 10,000-52.30"
,,"20,000-52.25 10,000-52.20 50,000-52.25 51,000-52.30"
,,"16,000-52.35 36,000-52.45 11,000-52.45 10,000-52.40"
,,"10,000-52.40 19,000-52.45 11,000-52.45 20,000-52.45"
,,"10,000-52.60 13,000-52.60 14,000-52.65 10,000-52.70"
,,"20,000-52.65 18,000-52.60 13,000-52.65 10,000-52.60"
,,"10,000-52.55 10,000-52.50 10,000-52.50 11,000-52.50"
,,"30,000-52.50 10,000-52.50 10,000-52.55 25,000-52.55"
,,"11,000-52.50 12,000-52.50 42,000-52.50 11,000-52.45"
,,"10,000-52.35 10,000-52.35 Y80,000-52.30 10,000-52.35"
,,"10,000-52.35 10,000-52.35 11,000-52.45 10,000-52.50"
,,"20,000-52.50 31,000-52.50 13,000-52.60 11,000-52.50"
,,"11,000-52.55 11,000-52.55 10,000-52.50 10,000-52.60"
,,"12,000-52.60 10,000-52.60 10,000-52.70 10,000-52.70"
,,"42,000-52.70 15,000-52.70 17,000-52.70 ]< U14,000-52.90"
,,"16,000-52.90 19,000-52.90 U50,000-52.90 12,000-52.90"
,,"26,000-52.90 18,000-52.90 75,000-52.90 54,000-52.90"
,,"55,000-52.90 35,000-52.90 76,000-52.90 57,000-52.90"
,,"U18,000-52.90 U12,000-52.90 U10,000-52.90 29,000-52.90"
,,"29,000-52.90 30,000-52.90 12,000-52.90 35,000-52.90"
,,"10,000-52.90 34,000-52.90 18,000-52.90 37,000-52.90"
,,"35,000-52.90 12,000-52.90 13,000-52.90 11,000-52.90"
,,"10,000-52.90 37,000-52.90 11,000-52.90 12,000-52.90"
,,"30,000-52.90 >"
29,DYNAMIC HOLD,"< >[ ]/-//[ 100,000-7.46 ]< >"
45,HK&S HOTELS,"< >[ ]/-//[ 191,500-12.24 ]< >"
52,FAIRWOOD HOLD,"< >[ ]/-//[ 19,000-27.00 ]< >"
53,GUOCO GROUP,"< >[ 5,000-101.50 ]/-//[ ]< >"
57,CHEN HSONG HOLD,"< >[ 322,000-2.80 ]/-//[ ]< >"
66,MTR CORPORATION,"< P105,000-40.785 >[ 20,500-40.80 89,000-40.85"
,,"13,500-40.80 15,500-40.80 29,500-40.75 ]/-//["
,,"13,500-40.75 21,000-40.80 20,500-40.75 14,000-40.80 ]<"
,,"14,000-41.00 14,000-41.00 15,000-41.00 23,500-41.00"
,,"17,000-41.00 53,000-41.00 22,000-41.00 12,500-41.00"
,,"14,500-41.00 >"
78,REGAL INT'L,"< >[ 120,000-4.60 ]/-//[ ]< >"
81,CH OVS G OCEANS,"< >[ Y500,000-2.80 500,000-2.79 240,000-2.79 ]/-//["
,,"Y210,000-2.79 300,000-2.79 ]< >"
83,SINO LAND,"< >[ ]/-//[ 52,000-13.74 ]< 38,000-13.76 56,000-13.76"
,,"38,000-13.76 42,000-13.76 48,000-13.76 54,000-13.76"
,,"44,000-13.76 >"
100,CLEAR MEDIA,"< P490,000-5.829 >[ X500,000-5.84 ]/-//[ ]< >"
101,HANG LUNG PPT,"< >[ ]/-//[ X500,000-15.75 X627,000-15.84 68,000-15.84"
,,"35,000-15.74 74,000-15.88 ]< 59,000-15.84 32,000-15.84"
,,"95,000-15.84 128,000-15.84 61,000-15.84 >"
113,DICKSON CONCEPT,"< >[ ]/-//[ 145,500-3.88 ]< >"
119,POLY PROPERTY,"< >[ X222,000-2.645 ]/-//[ ]< >"
123,YUEXIU PROPERTY,"< >[ ]/-//[ 1,576,000-1.45 1,172,000-1.45 ]<"
,,"1,172,000-1.46 >"
135,KUNLUN ENERGY,"< >[ 88,000-9.41 472,000-9.42 174,000-9.42 72,000-9.50"
,,"54,000-9.51 ]/-//[ 100,000-9.53 288,000-9.54"
,,"60,000-9.54 60,000-9.55 94,000-9.55 90,000-9.60"
,,"Y54,000-9.58 ]< 52,000-9.64 58,000-9.64 222,000-9.64"
,,"246,000-9.64 144,000-9.64 100,000-9.64 98,000-9.64"
,,"100,000-9.64 84,000-9.64 58,000-9.64 144,000-9.64"
,,"66,000-9.64 58,000-9.64 90,000-9.64 U148,000-9.64"
